Órgão UGE Código;Órgão UGE Nome;Dia Lançamento;Item Informação;Saldo R$ (Item Informação)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(256.277,89)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);10.686,87
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/03/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(311.466,02)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/03/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.146.008,62
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.629,57
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);5.984,03
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);30,00
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);5.352,00
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/03/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);38.005,53
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);40.537,42
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/03/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);4.017,15
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(836.368,82)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.097.057,30)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.591.382,63)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(216.842,75)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(89.291,18)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.189.490,70)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.499,76)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(644.076,64)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);44.922,30
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.374.372,82)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(775.355,08)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(2.323.858,42)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);17.759,86
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);49.523,81
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.073.430,90
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/04/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);134,28
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/04/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(12.404,49)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(197.299,66)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(240.476,77)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.568.167,96)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(407.066,53)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(338.947,88)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(345.933,47)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);702,29
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(21.479,93)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(75.711.992,08)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);18.629.670,62
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.866,25)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(247.484.249,69)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(12.853,48)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);3.262.578,72
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);63.014,11
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/04/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(16.909,24)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/04/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(22.558,82)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(8.180,44)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(57.368,27)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.392.883,03)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(299.480,21)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.480.363,33)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(225.709,89)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(44.954,09)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(25.765.613,18)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);4.155.633,87
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.282.516,88
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.580.214,38)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);190.892,55
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);5.827,81
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(24.726.700,70)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/05/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);40.634,52
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/05/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(194.036,58)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.048.160,39
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(722.172,52)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.544.600,80)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(339.791,24)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.093.224,79)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(801.473,45)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);4.995.249,42
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);2.560.055,60
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(7.206.354,02)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(812.728,93)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(56.285.148,51)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(710.402,75)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.686,92)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(16.121.697,93)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);377.131,02
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/05/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);4.398,65
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/05/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.243.339,00
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.045,83
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);13.016,42
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/06/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);6.000,00
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/06/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);12.000,00
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(256.898,34)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(4.993.265,90)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(3.023.175,12)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);254.230,82
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.082.136,02)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(44.766.648,90)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(680,00)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);76.386.372,10
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);106.145.678,03
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);26.002,48
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);88.106.129,12
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.347.530,60)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);20.014,56
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(476.191,00)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);6.601.802,60
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/07/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);4.387,14
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/07/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(57.849,88)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(83.980,91)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(2.779.772,19)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(3.341.103,19)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(902.338,48)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(517.598,02)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.547.026,58
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);10.112,23
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);41.915.609,32
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);637.987,24
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(18.412,59)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(1.571.352,17)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.189.519,70)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(197.628,10)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);6.045.761,46
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);11.086.921,88
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/07/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);28.839,00
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/07/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(99.109,42)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.689.949,89)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.853.909,31)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(816.313,51)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.408.427,06
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(414.532,24)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);334.367,35
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(810.061,13)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(22.876.066,50)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.296.717,12)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);26.283,93
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(8.881.939,42)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);71.106,77
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(12.057,09)
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);5.435.351,64
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.276.416,67
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/08/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);18.058,01
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/08/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(486.988,72)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(923.468,40)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.862.579,27)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(1.114.904,13)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.306.974,94
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(410.818,78)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(241.416,95)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);791.772,68
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(77.809.673,62)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(3.347.018,57)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(103.617,35)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(138.885.610,24)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(632.452,99)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.436.871,91
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);745.788,00
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/08/2018;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(586.824,94)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/08/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(763.784,40)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(42.659,04)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(428.554,45)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(296.790,30)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(716.883,74)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(2.840.249,31)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(415.598,95)
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(476,03)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);8.877.373,54
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);17.503,30
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);1.839.673,04
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);98.692.644,37
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);3.683,83
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(51.453,77)
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/10/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);91.986,93
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;03/10/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(25.608,55)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/11/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);61.463,36
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;03/11/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);32.722,00
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;03/11/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.028.675,21
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;03/11/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);9.991.580,03
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/11/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(85.412.166,54)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;03/11/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.247.248,57)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/11/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(10.966,19)
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;03/11/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(109.088.871,01)
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;03/11/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);87.677,02
